,City,Country,Latitude,Longitude,Date,Temperature,Wind_Speed,Cloud_cover,Humidity
84,Odlābāri,IN,26.83,88.62,1597558080,87.8,9.17,40,66
85,Mar del Plata,AR,-38.0,-57.56,1597557899,42.01,9.17,0,69
86,Hualmay,PE,-11.1,-77.61,1597558082,58.59,8.28,41,84
87,Ilulissat,GL,69.22,-51.1,1597557578,37.4,2.24,0,69
88,Puerto Ayora,EC,-0.74,-90.35,1597557734,66.99,1.01,48,88
89,Lebu,CL,-37.62,-73.65,1597557610,44.13,7.02,39,73
90,Fairbanks,US,64.84,-147.72,1597557932,64.4,8.05,40,52
91,Kapaa,US,22.08,-159.32,1597557694,80.6,11.41,20,74
92,Sitka,US,57.05,-135.33,1597557938,55.4,3.36,90,93
93,Paita,PE,-5.09,-81.11,1597558091,61.29,7.09,27,86
94,Norman Wells,CA,65.28,-126.83,1597557639,55.4,8.05,75,87
95,Qaanaaq,GL,77.48,-69.36,1597557613,33.96,8.12,2,84
96,Kalāleh,IR,37.38,55.49,1597558095,80.6,6.93,75,69
97,Codrington,AU,-38.27,141.97,1597557980,54.55,12.35,1,85
98,Toora-Khem,RU,52.47,96.11,1597558097,75.9,5.17,96,41
99,Marsá Maţrūḩ,EG,31.35,27.25,1597558099,73.4,5.82,0,78
100,Mahébourg,MU,-20.41,57.7,1597557679,75.2,21.92,40,57
101,San Patricio,MX,19.22,-104.7,1597557742,80.89,6.42,96,76
102,Arinos,BR,-15.92,-46.11,1597558102,64.72,1.1,0,57
103,Springbok,ZA,-29.66,17.89,1597558104,35.26,3.2,3,93
104,East London,ZA,-33.02,27.91,1597557784,48.2,14.99,6,81
105,Hollins,US,37.34,-79.94,1597558106,62.6,5.82,90,93
106,Byron Bay,AU,-28.65,153.62,1597558104,71.6,18.34,40,33
107,Castro,BR,-24.79,-50.01,1597557642,60.37,14.16,100,91
108,Bognor Regis,GB,50.78,-0.68,1597558110,64.99,3.67,84,98
109,Kahului,US,20.89,-156.47,1597557904,82.4,17.22,40,61
110,Bogorodskoye,RU,56.55,37.88,1597558113,58.69,4.16,95,86
111,Praia da Vitória,PT,38.73,-27.07,1597557593,71.6,11.21,20,83
112,Pangnirtung,CA,66.15,-65.71,1597558115,50.61,5.3,100,55
113,Itupiranga,BR,-5.13,-49.33,1597558117,76.24,1.92,85,65
114,New Norfolk,AU,-42.78,147.06,1597557656,54.0,1.01,100,88
115,Katsuura,JP,35.13,140.3,1597558119,96.01,10.29,75,75
116,Gizo Government Station,SB,-8.1,156.84,1597557949,83.19,6.62,10,70
117,Yakima,US,46.47,-120.67,1597558122,75.99,10.29,1,33
118,Sola,VU,-13.88,167.55,1597558123,78.8,2.24,75,88
119,Faya,SA,18.39,42.45,1597558125,75.2,5.26,58,46
120,Airai,TL,-8.93,125.41,1597557782,76.6,4.7,8,44
121,Ahipara,NZ,-35.17,173.17,1597557867,52.75,7.56,100,70
122,Cibitoke Province,BI,-2.88,29.25,1597558129,76.46,1.5,97,38
123,Orshanka,RU,56.92,47.89,1597558130,57.83,9.33,26,68
124,Yellowknife,CA,62.46,-114.35,1597557619,55.4,3.36,75,71
125,Goundam,ML,16.41,-3.67,1597558132,83.39,18.5,73,64
126,Matara,LK,5.95,80.54,1597558100,86.0,11.99,46,64
127,Kalga,RU,50.93,118.9,1597558135,70.57,0.47,52,74
128,Hamilton,US,39.18,-84.53,1597557917,73.99,2.64,20,94
129,Turukhansk,RU,65.82,87.98,1597558138,73.06,15.68,9,36
130,Upernavik,GL,72.79,-56.15,1597557733,40.53,12.66,57,73
131,Shakhovskaya,RU,56.03,35.51,1597558140,56.53,4.21,96,95
132,Westport,US,41.14,-73.36,1597558024,69.01,8.9,96,82
133,Laguna,US,38.42,-121.42,1597557377,89.01,4.7,1,33
134,Palafrugell,ES,41.92,3.16,1597558144,73.0,9.13,19,50
135,Tasiilaq,GL,65.61,-37.64,1597557588,41.0,12.75,100,86
136,Mogzon,RU,51.74,111.96,1597558146,68.43,4.27,69,57
137,Barvinkove,UA,48.91,37.02,1597558148,65.23,2.46,65,46
138,Matonga,TZ,-2.38,34.08,1597558149,74.79,7.56,83,41
139,Tadine,NC,-21.55,167.88,1597558150,71.38,12.46,65,74
140,Vostok,RU,46.49,135.88,1597558151,72.86,11.05,1,56
141,Punuare,HN,14.73,-85.97,1597558153,70.72,1.32,30,88
142,Manadhoo,MV,5.77,73.38,1597558154,82.2,1.63,100,73
143,Ekibastuz,KZ,51.67,75.37,1597558155,76.77,17.02,13,31
144,Martapura,ID,-3.42,114.85,1597558156,89.6,5.82,20,52
145,Broome,US,42.25,-75.83,1597558158,68.0,10.29,1,88
146,Morant Bay,JM,17.88,-76.41,1597558159,82.4,4.7,20,78
147,Burgeo,CA,47.62,-57.62,1597558160,56.14,3.04,0,63
148,Puerto Escondido,MX,15.85,-97.07,1597558162,80.82,5.41,80,76
149,Ternate,ID,0.8,127.4,1597558163,82.81,9.75,74,75
150,Contai,IN,21.78,87.75,1597558164,83.93,17.96,87,81
151,Uglovoye,UA,44.82,33.6,1597558165,70.61,11.23,90,49
152,Port Hardy,CA,50.7,-127.42,1597557625,60.8,4.7,5,93
153,Royan,FR,45.63,-1.03,1597558168,64.4,2.24,75,93
154,Chui,UY,-33.7,-53.46,1597557744,42.49,7.27,0,70
155,Thinadhoo,MV,0.53,72.93,1597558170,83.88,5.26,36,72
156,Marsh Harbour,BS,26.54,-77.06,1597557919,83.01,9.84,3,75
157,Srednekolymsk,RU,67.45,153.68,1597557871,48.43,11.92,95,53
158,Mareeba,AU,-17.0,145.43,1597558174,87.01,7.0,14,21
159,Arrondissement de Dinan,FR,48.42,-2.25,1597558175,59.0,3.36,100,93
160,Kauhajoki,FI,62.43,22.18,1597558177,62.01,11.41,75,72
161,Pevek,RU,69.7,170.31,1597557673,44.89,10.09,25,68
162,Praia,CV,14.92,-23.51,1597558179,78.8,11.41,20,83
163,Bursa,TR,40.17,29.08,1597558181,68.0,2.24,0,68
164,Muli,MV,2.92,73.57,1597558182,83.21,4.07,98,67
165,Longyearbyen,SJ,78.22,15.64,1597557720,44.6,4.7,75,87
166,Bathsheba,BB,13.22,-59.52,1597557955,82.4,5.82,40,83
167,Bogale,MM,16.28,95.4,1597558186,86.09,9.24,98,74
168,Salalah,OM,17.02,54.09,1597557836,77.0,5.82,90,100
169,Cidreira,BR,-30.18,-50.21,1597558117,56.35,10.76,69,76
170,Tezu,IN,27.92,96.17,1597558189,76.3,3.15,100,87
171,Egvekinot,RU,66.32,-179.17,1597558191,54.64,5.19,49,65
172,Elizabeth City,US,36.29,-76.25,1597558193,77.0,3.36,40,94
173,Payyanur,IN,12.1,75.2,1597558194,78.8,1.12,75,88
174,Muravlenko,RU,63.79,74.52,1597558196,50.85,8.72,100,95
175,Faanui,PF,-16.48,-151.75,1597557760,78.46,15.28,71,78
176,Daru,PG,-9.08,143.21,1597558009,78.78,11.86,35,72
177,Hasaki,JP,35.73,140.83,1597557718,99.0,10.29,20,66
178,Bābai,IN,22.7,77.93,1597558201,83.01,8.39,100,80
179,Fortuna,US,40.6,-124.16,1597557729,64.0,2.21,0,75
180,Guerrero Negro,MX,27.98,-114.06,1597557860,76.66,8.52,0,59
181,Saint-Joseph,RE,-21.37,55.62,1597557678,75.2,4.7,20,53
182,Moree,AU,-29.47,149.85,1597558206,64.4,16.11,75,45
183,São Lourenço do Sul,BR,-31.37,-51.98,1597558208,39.0,8.21,0,96
184,Trelew,AR,-43.25,-65.31,1597558209,48.69,30.06,73,49
