,City,Country,Latitude,Longitude,Date,Temperature,Wind_Speed,Cloud_cover,Humidity
84,Casper,US,42.87,-106.31,1597632372,82.4,4.7,1,14
85,Saint-Joseph,RE,-21.37,55.62,1597632510,66.2,9.17,44,55
86,Touros,BR,-5.2,-35.46,1597632512,71.6,4.7,44,94
87,Lethem,GY,3.38,-59.8,1597632513,76.39,5.41,81,86
88,Severo-Kuril'sk,RU,50.68,156.12,1597632515,54.1,2.71,71,84
89,Mahébourg,MU,-20.41,57.7,1597632306,69.8,14.99,40,77
90,Airai,TL,-8.93,125.41,1597632518,75.81,6.08,2,42
91,San Andrés,CO,12.58,-81.7,1597632342,80.6,5.82,40,88
92,Lodwar,KE,3.12,35.6,1597632521,77.67,17.98,7,59
93,Kirakira,SB,-10.45,161.92,1597632522,84.15,4.47,1,64
94,Te Anau,NZ,-45.42,167.72,1597632524,48.85,0.6,31,61
95,Esperance,AU,-33.87,121.9,1597632525,53.6,25.28,25,66
96,Avera,US,33.19,-82.53,1597632390,75.2,5.44,1,65
97,Constitución,CL,-35.33,-72.42,1597632528,46.29,8.14,0,80
98,Bhalwal,PK,32.27,72.9,1597632530,92.01,10.0,29,54
99,Buloh Kasap,MY,2.55,102.76,1597632532,84.2,3.36,20,79
100,Bethel,US,41.37,-73.41,1597632424,64.99,4.5,99,93
101,Neturhāt,IN,23.48,84.27,1597632536,72.45,4.83,91,96
102,Tasiilaq,GL,65.61,-37.64,1597632329,50.0,25.28,100,71
103,Gweta,BW,-20.18,25.23,1597632540,58.15,4.76,0,33
104,Maïné Soroa,NE,13.21,12.02,1597632542,80.28,7.16,100,69
105,Hobart,AU,-42.88,147.33,1597632520,59.0,0.63,40,71
106,East London,ZA,-33.02,27.91,1597632338,51.55,6.96,31,57
107,Barrow,US,71.29,-156.79,1597632289,41.0,14.99,90,80
108,San Calixto,CO,8.4,-73.21,1597632548,60.01,1.34,100,100
109,Sikeston,US,36.88,-89.59,1597632550,71.6,6.31,1,78
110,Havre-St-Pierre,CA,50.23,-63.6,1597632551,55.4,2.24,1,100
111,Vytegra,RU,61.01,36.45,1597632552,48.0,1.99,0,71
112,Upata,VE,8.01,-62.4,1597632554,80.01,1.01,92,89
113,Lompoc,US,34.64,-120.46,1597632556,77.0,5.82,1,57
114,George Town,MY,5.41,100.34,1597632557,84.2,3.36,20,79
115,Zabul Province,AF,32.25,67.25,1597632559,79.05,6.31,25,28
116,Malino,PH,15.13,120.67,1597632561,84.99,4.7,75,74
117,Cortez,US,37.35,-108.59,1597632562,87.8,5.82,1,9
118,Qui Nhon,VN,13.77,109.23,1597632389,89.76,3.51,46,55
119,Vestmannaeyjar,IS,63.44,-20.27,1597632394,53.53,13.71,100,91
120,San Quintín,MX,30.48,-115.95,1597632442,75.0,5.14,0,69
121,Villarrica,PY,-25.75,-56.43,1597632568,56.44,5.01,0,83
122,Chui,UY,-33.7,-53.46,1597632570,44.67,8.01,0,76
123,Atar,MR,20.52,-13.05,1597632571,98.1,5.95,33,17
124,Yellowknife,CA,62.46,-114.35,1597632573,57.2,3.36,75,67
125,Vila Franca do Campo,PT,37.72,-25.43,1597632574,73.4,16.11,40,88
126,Kadambūr,IN,8.98,77.87,1597632576,85.14,12.86,100,55
127,Hilo,US,19.73,-155.09,1597632205,84.2,9.17,20,58
128,Half Moon Bay,US,37.46,-122.43,1597632579,84.2,11.41,90,93
129,Ust-Tsilma,RU,65.44,52.15,1597632580,48.65,6.38,100,95
130,Puerto Ayora,EC,-0.74,-90.35,1597632582,66.99,1.01,6,88
131,São João da Barra,BR,-21.64,-41.05,1597632568,73.63,16.46,87,89
132,Hasaki,JP,35.73,140.83,1597632585,97.0,12.75,75,56
133,Tiksi,RU,71.69,128.87,1597632151,50.22,4.12,28,59
134,Kon Tum,VN,14.35,108.0,1597632588,81.99,3.27,100,66
135,Kaitangata,NZ,-46.28,169.85,1597632590,46.99,3.0,52,73
136,Hermanus,ZA,-34.42,19.23,1597632325,39.99,5.35,100,91
137,Aklavik,CA,68.22,-135.01,1597632593,53.6,3.36,75,81
138,Kahului,US,20.89,-156.47,1597632596,87.8,20.8,40,55
139,Puerto Madryn,AR,-42.77,-65.04,1597632361,44.91,16.08,0,56
140,Radomsko,PL,51.07,19.44,1597632600,64.0,7.94,59,69
141,Bredasdorp,ZA,-34.53,20.04,1597632337,44.6,1.12,100,81
142,Fort Myers Beach,US,26.45,-81.95,1597632378,84.2,3.36,1,74
143,Bocana de Paiwas,NI,12.79,-85.12,1597632605,73.02,2.75,100,91
144,Souillac,MU,-20.52,57.52,1597632317,69.8,14.99,40,77
145,Biak,ID,-0.91,122.88,1597632608,82.96,10.29,34,64
146,Qaanaaq,GL,77.48,-69.36,1597632312,33.73,4.61,14,84
147,Oranjemund,NA,-28.55,16.43,1597632611,52.09,11.01,0,62
148,Porangatu,BR,-13.44,-49.15,1597632612,74.46,2.35,0,34
149,Poum,NC,-20.23,164.02,1597632613,74.32,19.13,57,82
150,Thio,NC,-21.62,166.22,1597632615,73.4,6.93,90,83
151,Najrān,SA,17.49,44.13,1597632616,78.8,3.78,40,29
152,Klaksvík,FO,62.23,-6.59,1597632055,50.0,2.24,100,100
153,Ola,RU,59.58,151.28,1597632619,60.15,5.41,99,65
154,Iqaluit,CA,63.75,-68.51,1597632201,41.0,6.93,20,93
155,Yamada,JP,39.47,141.95,1597632622,81.05,7.11,38,68
156,Cherskiy,RU,68.75,161.3,1597632315,45.63,14.25,95,69
157,Pyinmana,MM,19.73,96.22,1597632627,75.15,6.2,100,93
158,Qaqortoq,GL,60.72,-46.03,1597632628,50.0,4.7,0,61
159,Barvinkove,UA,48.91,37.02,1597632630,58.24,6.38,0,83
160,Mamontovo,RU,52.71,81.62,1597632632,68.45,8.43,100,63
161,Sambava,MG,-14.27,50.17,1597632634,70.59,10.0,98,86
162,Belmonte,BR,-15.86,-38.88,1597632635,71.6,5.82,90,94
163,Pemberton,CA,50.32,-122.8,1597632637,80.2,5.19,0,38
164,Kalabo,ZM,-14.97,22.68,1597632638,55.2,4.65,0,36
165,Tagusao,PH,9.19,117.81,1597632640,86.18,7.83,34,68
166,Ostrovnoy,RU,68.05,39.51,1597632641,45.63,19.17,61,83
167,Hellvik,NO,59.92,5.78,1597632644,61.0,1.45,0,92
168,Grandview,US,38.89,-94.53,1597632646,75.2,3.47,1,60
169,Portland,US,45.52,-122.68,1597632375,88.0,4.7,75,35
170,Castro,BR,-24.79,-50.01,1597632321,59.49,4.88,100,94
171,Saint George,US,37.1,-113.58,1597632651,107.6,9.17,1,12
172,Morgantown,US,39.63,-79.96,1597632653,69.8,2.13,1,77
173,Imeni Stepana Razina,RU,54.89,44.3,1597632654,54.91,9.4,90,95
174,Kavaratti,IN,10.57,72.64,1597632292,81.82,12.77,98,79
175,Qasigiannguit,GL,68.82,-51.19,1597632657,37.4,1.12,29,69
176,The Valley,AI,18.22,-63.06,1597632659,84.2,11.41,20,74
177,Grindavik,IS,63.84,-22.43,1597632581,57.2,12.75,75,87
178,Norman Wells,CA,65.28,-126.83,1597632662,57.2,3.83,75,58
179,Lumphat,KH,13.49,106.98,1597632663,84.65,2.91,95,74
180,Pipraich,IN,26.83,83.53,1597632666,85.78,12.01,94,75
181,Vostok,RU,46.49,135.88,1597632667,69.85,10.47,4,57
182,New Norfolk,AU,-42.78,147.06,1597632669,57.99,3.0,93,84
183,Sitka,US,57.05,-135.33,1597632671,59.0,5.82,90,82
184,Okhotsk,RU,59.38,143.3,1597632672,60.55,8.34,100,72
185,Panzhihua,CN,26.59,101.71,1597632383,66.0,1.34,100,92
186,Bokaa,BW,-24.45,26.02,1597632675,41.0,3.36,0,41
187,Srednekolymsk,RU,67.45,153.68,1597632677,48.92,13.27,100,57
188,Lorengau,PG,-2.02,147.27,1597632679,84.67,12.03,0,72
189,Cabo San Lucas,MX,22.89,-109.91,1597632411,86.0,20.8,75,62
190,Vao,NC,-22.67,167.48,1597632682,71.01,19.48,76,86
191,Deputatsky,RU,69.3,139.9,1597632684,39.74,4.65,100,83
192,Piranhas,BR,-16.43,-51.82,1597632685,76.39,1.77,23,35
193,Thompson,CA,55.74,-97.86,1597632093,57.2,8.05,75,71
194,Perevolotskiy,RU,51.88,54.19,1597632688,54.75,12.24,100,87
195,Novovasylivka,UA,46.83,35.75,1597632689,61.3,4.32,0,51
196,Abadan,TM,38.05,58.21,1597632691,77.0,6.93,90,36
197,Esim,GH,4.87,-2.24,1597632692,72.68,7.29,1,87
198,Atuona,PF,-9.8,-139.03,1597632291,78.1,16.2,1,76
199,Severodvinsk,RU,64.56,39.83,1597632695,41.0,2.24,20,100
200,Ajdabiya,LY,30.76,20.23,1597632260,72.93,5.48,0,66
201,Nianzishan,CN,47.52,122.88,1597632698,70.72,6.29,99,82
202,Borogontsy,RU,62.67,131.17,1597632700,62.8,5.14,94,35
203,Kaeo,NZ,-35.1,173.78,1597632701,57.99,8.99,55,3
204,Gorin,RU,51.2,136.67,1597632703,62.33,9.35,98,76
205,Shediac,CA,46.22,-64.54,1597632704,64.4,4.7,75,72
206,Sur,OM,22.57,59.53,1597632413,91.44,3.27,92,53
207,Villa María,AR,-32.41,-63.24,1597632708,46.99,4.0,0,50
208,Umm Kaddadah,SD,13.6,26.69,1597632710,82.85,5.48,85,57
209,Richards Bay,ZA,-28.78,32.04,1597632711,60.76,4.36,61,58
210,Buala,SB,-8.14,159.59,1597632294,84.83,1.23,61,69
211,Numan,NG,9.47,12.03,1597632714,74.82,3.47,100,92
212,Ust-Nera,RU,64.57,143.2,1597632715,56.19,5.46,0,38
213,Los Llanos de Aridane,ES,28.66,-17.92,1597632717,73.0,13.87,13,78
214,Kenai,US,60.55,-151.26,1597632718,73.4,8.05,1,38
215,Muscat,OM,23.61,58.59,1597632641,86.0,4.7,68,89
216,Cedeno,CO,7.05,-72.16,1597632721,69.46,4.16,100,79
217,Agüimes,ES,27.91,-15.45,1597632724,73.0,26.4,20,73
218,Amapá,BR,1.0,-52.0,1597632725,73.18,3.29,0,92
219,Katsuura,JP,35.13,140.3,1597632727,97.0,4.7,75,67
220,Havøysund,NO,71.0,24.66,1597632730,44.6,38.03,75,93
221,São João Evangelista,BR,-18.55,-42.76,1597632732,63.23,3.71,20,85
222,Isangel,VU,-19.55,169.27,1597632324,76.51,15.08,56,72
223,Esquipulas,GT,14.57,-89.35,1597632738,67.06,4.03,100,94
224,Sol'vychegodsk,RU,61.33,46.92,1597632740,50.16,11.41,98,89
225,La Ronge,CA,55.1,-105.28,1597632742,60.8,4.7,75,67
226,Faro,PT,37.02,-7.93,1597632691,68.0,9.17,0,88
227,Umluj,SA,25.02,37.27,1597632542,82.17,3.96,2,66
228,Khovd,MN,48.01,91.64,1597632746,61.9,2.42,92,53
229,Vilyuysk,RU,63.76,121.62,1597632748,61.39,6.22,0,43
230,Tuatapere,NZ,-46.13,167.68,1597632749,48.0,4.0,45,78
231,Kassala,SD,15.45,36.4,1597632750,75.13,14.25,100,74
232,Alliance,US,40.92,-81.11,1597632471,68.0,7.72,0,90
233,Goderich,CA,43.75,-81.72,1597632461,73.99,1.48,0,56
234,Thinadhoo,MV,0.53,72.93,1597632755,83.21,3.62,99,68
235,Tokmak,UA,47.25,35.71,1597632756,60.13,3.2,0,56
236,Fukuechō,JP,32.69,128.84,1597632758,89.6,10.29,20,66
237,Ahwa,IN,20.75,73.68,1597632759,75.15,8.97,100,95
238,Kuril'sk,RU,45.23,147.88,1597632761,63.14,3.89,91,82
239,Saint-Augustin,CA,51.23,-58.65,1597632763,63.52,11.61,0,60
240,Ciudad Bolivar,VE,8.12,-63.55,1597632764,77.85,5.93,97,88
241,Dunda,TZ,-8.12,34.25,1597632765,54.81,1.68,92,74
242,Lüderitz,NA,-26.65,15.16,1597632767,54.0,16.02,0,59
243,Khasan,RU,42.43,130.64,1597632768,79.25,3.44,96,68
244,Ylivieska,FI,64.08,24.55,1597632771,55.99,7.0,0,86
245,Lewistown,US,40.6,-77.57,1597632772,66.2,1.97,1,88
246,Mayo,US,38.89,-76.51,1597632774,73.4,5.82,90,86
247,Makakilo City,US,21.35,-158.09,1597632776,87.8,11.41,75,55
248,Hokitika,NZ,-42.72,170.97,1597632333,52.68,5.23,16,65
249,George Town,MY,5.41,100.34,1597632116,84.2,3.36,20,79
250,Dicabisagan,PH,17.08,122.42,1597632781,84.96,6.02,100,68
251,Englehart,CA,47.82,-79.87,1597632783,59.0,5.82,90,100
252,Nanortalik,GL,60.14,-45.24,1597632786,42.17,0.56,0,79
253,Ulaangom,MN,49.98,92.07,1597632788,68.41,6.89,61,54
254,Ilo,PE,-17.64,-71.34,1597632789,58.14,4.97,90,79
255,Ashtabula,US,41.7,-80.77,1597632733,64.0,6.02,23,99
256,Newport,GB,51.59,-3.0,1597632792,62.01,8.28,82,98
257,Huarmey,PE,-10.07,-78.15,1597632794,59.77,9.53,45,85
258,Enterprise,US,36.03,-115.24,1597632796,109.4,2.28,75,8
259,Jiaocheng,CN,24.68,116.14,1597632797,93.81,2.44,0,46
260,Kapaa,US,22.08,-159.32,1597632291,84.2,12.75,20,66
261,Bikaner,IN,28.02,73.3,1597632801,95.13,9.82,0,52
262,Hailey,US,43.52,-114.32,1597632802,80.6,5.82,40,30
263,Talaya,RU,61.38,152.75,1597632804,58.46,7.36,94,51
264,Paulo Afonso,BR,-9.41,-38.21,1597632806,68.13,7.83,55,94
265,Kirov,RU,58.6,49.66,1597632807,50.36,4.18,100,86
266,Licheng,CN,23.3,113.83,1597632809,95.0,6.71,40,62
267,Porto Velho,BR,-8.76,-63.9,1597632810,78.8,2.24,44,83
268,Hithadhoo,MV,-0.6,73.08,1597632027,83.68,5.35,91,70
269,Stornoway,GB,58.21,-6.39,1597632813,57.2,4.7,20,93
270,Balagansk,RU,54.01,103.05,1597632816,62.44,3.65,0,48
271,Xam Nua,LA,20.42,104.04,1597632818,68.95,1.41,100,94
272,Rawson,AR,-43.3,-65.1,1597632524,43.63,14.83,0,58
273,Longyearbyen,SJ,78.22,15.64,1597632821,42.8,3.36,40,75
274,Sibolga,ID,1.74,98.78,1597632822,82.67,1.97,73,67
275,Acapulco de Juárez,MX,16.86,-99.89,1597632287,80.6,3.74,90,83
276,Chifeng,CN,42.27,118.96,1597632826,72.63,5.39,100,78
277,Solano,US,38.23,-121.95,1597632827,104.0,6.93,1,24
278,Saskylakh,RU,71.92,114.08,1597632828,65.53,3.49,59,40
279,Iquitos,PE,-3.75,-73.25,1597632831,73.49,2.8,68,94
280,Bridlington,GB,54.08,-0.19,1597632832,59.0,6.93,100,93
281,Mehamn,NO,71.04,27.85,1597632335,46.92,28.39,100,73
282,Vágur,FO,61.47,-6.81,1597632836,52.81,14.09,100,96
283,Moquegua,PE,-17.2,-70.94,1597632837,55.02,0.34,0,44
284,Kununurra,AU,-15.77,128.73,1597632803,89.6,4.7,0,26
285,Xiongzhou,CN,25.12,114.3,1597632840,93.04,1.72,1,52
286,St. Marys,US,30.73,-81.55,1597632842,80.6,5.97,40,100
287,Xai-Xai,MZ,-25.05,33.64,1597632843,65.75,16.22,100,78
288,Oranjestad,AW,12.52,-70.03,1597632787,84.2,16.11,40,83
289,Omaha,US,41.26,-95.94,1597632591,71.01,4.7,75,88
290,Vanimo,PG,-2.67,141.3,1597632849,86.99,7.54,37,61
291,San Ramon,US,37.78,-121.98,1597632745,95.0,9.17,1,32
292,Poconé,BR,-16.26,-56.62,1597632852,78.8,4.47,69,40
293,Beringovskiy,RU,63.05,179.32,1597632301,51.66,6.78,100,91
294,Apache Junction,US,33.42,-111.55,1597632570,102.2,11.41,59,16
295,Samarai,PG,-10.62,150.67,1597632857,77.85,11.18,7,68
296,Abu Kamal,SY,34.45,40.92,1597632858,74.46,10.69,0,33
297,Qingdao,CN,36.1,120.37,1597632609,91.4,6.71,32,75
298,Ulladulla,AU,-35.35,150.47,1597632861,62.6,17.22,40,51
299,Gao,ML,16.64,1.64,1597632862,88.66,5.28,99,43
300,Chiredzi,ZW,-21.05,31.67,1597632864,64.35,13.13,78,79
301,Ayagoz,KZ,47.97,80.44,1597632865,74.07,3.69,0,21
302,Kamaishi,JP,39.27,141.88,1597632867,73.4,1.12,75,94
303,Jiexiu,CN,37.02,111.91,1597632868,79.7,2.91,97,70
304,Teya,RU,60.38,92.63,1597632870,65.35,4.72,100,42
305,Alofi,NU,-19.06,-169.92,1597632293,77.0,20.8,75,61
306,Edd,ER,13.93,41.69,1597632873,89.53,1.48,80,61
307,Saint-Pierre,RE,-21.34,55.48,1597632875,66.2,9.17,67,55
308,Mengcheng,CN,33.26,116.57,1597632876,90.64,6.82,0,72
309,Marang,MY,5.21,103.21,1597632878,86.0,5.82,20,74
310,Codrington,AU,-38.27,141.97,1597632879,56.46,11.12,45,65
311,Trat,TH,12.5,102.5,1597632880,88.0,5.19,40,83
312,Ponta Delgada,PT,37.73,-25.67,1597632826,73.4,16.11,40,88
313,Saravan,AM,39.72,45.65,1597632884,68.0,13.87,75,60
314,Channel-Port aux Basques,CA,47.57,-59.14,1597632886,60.21,2.57,0,67
315,Vadsø,NO,70.07,29.75,1597632887,46.4,21.92,40,81
316,Flin Flon,CA,54.77,-101.86,1597632889,53.37,2.66,51,74
317,Roald,NO,62.58,6.13,1597632890,61.0,13.87,63,93
318,Caucaia,BR,-3.74,-38.65,1597632892,79.0,12.75,15,78
319,Rūdsar,IR,37.14,50.29,1597632894,73.4,2.24,75,73
320,Tiarei,PF,-17.53,-149.33,1597632639,82.4,16.11,20,61
321,Faanui,PF,-16.48,-151.75,1597632304,78.08,11.1,0,68
322,Salina,US,38.84,-97.61,1597632899,78.8,3.36,1,61
323,Mar del Plata,AR,-38.0,-57.56,1597632811,45.0,8.05,33,70
324,Necochea,AR,-38.55,-58.74,1597632308,36.0,1.99,7,89
325,Santa Catarina de Tepehuanes,MX,25.35,-105.73,1597632903,70.11,7.31,38,45
326,Anadyr,RU,64.75,177.48,1597632905,60.8,11.18,20,59
327,Hobyo,SO,5.35,48.53,1597632907,75.65,18.54,75,80
328,Puerto del Rosario,ES,28.5,-13.86,1597632908,71.6,13.87,0,78
329,Negombo,LK,7.21,79.84,1597632911,80.6,4.7,40,88
330,Fort Nelson,CA,58.81,-122.7,1597632787,68.0,4.7,40,77
331,Nemuro,JP,43.32,145.57,1597632914,80.6,3.36,20,78
332,Vidim,RU,56.41,103.11,1597632916,62.19,8.21,9,42
333,Pevek,RU,69.7,170.31,1597632918,38.07,18.45,100,93
334,Honningsvåg,NO,70.98,25.97,1597632919,46.4,21.92,75,81
335,Geraldton,AU,-28.77,114.6,1597632921,60.8,14.99,75,82
336,Petauke,ZM,-14.24,31.33,1597632923,61.5,4.83,0,40
337,Leningradskiy,RU,69.38,178.42,1597632925,44.78,4.25,100,91
338,Tocopilla,CL,-22.09,-70.2,1597632927,55.62,4.07,29,63
339,Laguna,US,38.42,-121.42,1597632928,102.2,9.17,1,22
340,Itoman,JP,26.12,127.67,1597632930,89.6,10.29,40,66
341,Carballo,ES,43.21,-8.69,1597632931,68.0,2.24,90,93
342,San Felipe,VE,10.34,-68.74,1597632932,74.26,2.3,96,93
343,Priyutnoye,RU,46.1,43.51,1597632934,60.01,8.99,0,44
344,Vardø,NO,70.37,31.11,1597632831,46.4,21.92,40,81
345,Gazojak,TM,41.19,61.4,1597632938,72.57,8.19,0,28
346,Salalah,OM,17.02,54.09,1597632939,75.2,4.7,90,100
347,Andenes,NO,69.31,16.12,1597632941,50.0,27.51,100,76
348,Kontagora,NG,10.4,5.47,1597632943,72.28,3.33,92,93
349,São Francisco de Paula,BR,-29.45,-50.58,1597632945,48.99,1.01,36,81
350,Yangi Marg`ilon,UZ,40.43,71.72,1597632946,78.8,9.17,72,47
351,Timmins,CA,48.47,-81.33,1597632949,57.2,4.7,40,93
352,San Joaquin,VE,10.26,-67.79,1597632951,73.96,4.76,86,91
353,Maxixe,MZ,-23.86,35.35,1597632903,68.81,15.79,100,76
354,Boguchany,RU,58.38,97.45,1597632954,65.68,6.04,94,42
355,Gazli,UZ,40.13,63.45,1597632955,74.44,17.45,58,24
356,Coihueco,CL,-36.62,-71.83,1597632957,41.0,5.82,0,86
357,Nivala,FI,63.92,24.97,1597632958,46.0,8.01,0,86
358,Mocuba,MZ,-16.84,36.99,1597632960,64.29,2.44,0,96
359,Kosh-Agach,RU,50.0,88.67,1597632962,56.88,3.36,38,62
360,Bengkulu,ID,-3.8,102.27,1597632964,83.97,4.03,4,65
361,Araouane,ML,18.9,-3.53,1597632967,95.04,15.14,7,32
362,Miyazu,JP,35.53,135.18,1597632969,87.8,4.7,75,66
363,Iberia,US,29.95,-91.75,1597632971,84.2,13.89,1,83
364,Orán,AR,-23.13,-64.33,1597632973,53.01,1.92,0,67
365,Maumere,ID,-8.62,122.21,1597632974,83.08,0.47,3,63
366,Ilulissat,GL,69.22,-51.1,1597632976,37.4,1.12,19,69
367,Jacareacanga,BR,-6.22,-57.75,1597632978,77.36,1.28,12,41
368,Magnitogorsk,RU,53.42,59.05,1597632885,51.8,11.18,75,87
369,Fortuna,US,40.6,-124.16,1597632981,63.0,1.01,74,85
370,Garissa,KE,-0.45,39.64,1597632848,73.17,12.5,87,79
371,Adrar,MR,20.5,-10.07,1597632984,96.55,8.48,0,24
372,Albina,SR,5.5,-54.05,1597632985,74.66,2.3,100,88
